"classifier","feature_selection","iterations","avg_recall","avg_precision","avg_f1","avg_auc","avg_kappa","avg_accuracy","sum_tp","sum_fp","sum_tn","sum_fn","avg_pofb20","avg_npofb20"
"naive bayes","no","13","0.9532","0.9338","0.9413","0.6442","0.0779","0.8922","152490","10452","1315","7941","0.4602","0.3253"
"naive bayes","GreedyStepwise Backward + CFS","13","0.9858","0.9309","0.9556","0.5011","0.0194","0.9179","157817","11274","493","2614","0.6548","0.6400"
"IBK","GreedyStepwise Forward + CFS","13","0.9855","0.9298","0.9549","0.5138","0.0149","0.9163","157762","11478","289","2669","0.1597","0.1377"
"IBK","BestFirst + CFS","13","0.9855","0.9298","0.9549","0.5138","0.0149","0.9163","157762","11478","289","2669","0.1597","0.1377"
"naive bayes","BestFirst + CFS","13","0.9858","0.9309","0.9556","0.5011","0.0194","0.9179","157817","11274","493","2614","0.6548","0.6400"
"random forest","GreedyStepwise Backward + CFS","13","0.9860","0.9296","0.9550","0.5283","0.0109","0.9165","157855","11516","251","2576","0.3292","0.3018"
"naive bayes","GreedyStepwise Forward + CFS","13","0.9858","0.9309","0.9556","0.5011","0.0194","0.9179","157817","11274","493","2614","0.6548","0.6400"
"random forest","GreedyStepwise Forward + CFS","13","0.9860","0.9296","0.9550","0.5283","0.0109","0.9165","157855","11516","251","2576","0.3292","0.3018"
"IBK","GreedyStepwise Backward + CFS","13","0.9855","0.9298","0.9549","0.5138","0.0149","0.9163","157762","11478","289","2669","0.1597","0.1377"
"random forest","no","13","0.9824","0.9298","0.9533","0.5968","0.0281","0.9133","157252","11485","282","3179","0.1396","0.0127"
"random forest","BestFirst + CFS","13","0.9860","0.9296","0.9550","0.5283","0.0109","0.9165","157855","11516","251","2576","0.3292","0.3018"
"IBK","no","13","0.9780","0.9309","0.9518","0.5167","0.0470","0.9105","156514","11235","532","3917","0.1742","0.0318"
