"classifier","feature_selection","iterations","avg_recall","avg_precision","avg_f1","avg_auc","avg_kappa","avg_accuracy","sum_tp","sum_fp","sum_tn","sum_fn","avg_pofb20","avg_npofb20"
"naive bayes","no","2","0.9675","0.9051","0.9338","0.6089","0.0890","0.8777","20433","2163","199","709","0.4840","0.3550"
"naive bayes","GreedyStepwise Backward + CFS","2","0.9957","0.9003","0.9448","0.4859","0.0178","0.8974","21056","2324","38","86","0.3754","0.3319"
"IBK","GreedyStepwise Forward + CFS","2","0.9904","0.8997","0.9416","0.5034","0.0069","0.8910","20927","2345","17","215","0.4478","0.4216"
"IBK","BestFirst + CFS","2","0.9904","0.8997","0.9416","0.5034","0.0069","0.8910","20927","2345","17","215","0.4478","0.4216"
"naive bayes","BestFirst + CFS","2","0.9957","0.9003","0.9448","0.4859","0.0178","0.8974","21056","2324","38","86","0.3754","0.3319"
"random forest","GreedyStepwise Backward + CFS","2","0.9903","0.8994","0.9414","0.5005","-0.0000","0.8905","20923","2352","10","219","0.2112","0.1281"
"naive bayes","GreedyStepwise Forward + CFS","2","0.9957","0.9003","0.9448","0.4859","0.0178","0.8974","21056","2324","38","86","0.3754","0.3319"
"random forest","GreedyStepwise Forward + CFS","2","0.9903","0.8994","0.9414","0.5005","-0.0000","0.8905","20923","2352","10","219","0.2112","0.1281"
"IBK","GreedyStepwise Backward + CFS","2","0.9904","0.8997","0.9416","0.5034","0.0069","0.8910","20927","2345","17","215","0.4478","0.4216"
"random forest","no","2","0.9806","0.9024","0.9381","0.6083","0.0682","0.8847","20705","2271","91","437","0.2663","0.0828"
"random forest","BestFirst + CFS","2","0.9903","0.8994","0.9414","0.5005","-0.0000","0.8905","20923","2352","10","219","0.2112","0.1281"
"IBK","no","2","0.9765","0.9025","0.9361","0.5707","0.0620","0.8811","20613","2264","98","529","0.3435","0.2064"
