"classifier","feature_selection","iterations","avg_recall","avg_precision","avg_f1","avg_auc","avg_kappa","avg_accuracy","sum_tp","sum_fp","sum_tn","sum_fn","avg_pofb20","avg_npofb20"
"naive bayes","no","3","0.7915","0.9082","0.8437","0.6391","0.0048","0.7652","15080","652","258","2457","0.3214","0.1518"
"naive bayes","GreedyStepwise Backward + CFS","3","0.8005","0.9084","0.8491","0.6322","0.0030","0.7724","15227","667","243","2310","0.4083","0.2604"
"IBK","GreedyStepwise Forward + CFS","3","0.9585","0.9201","0.9363","0.5744","0.0273","0.8845","16808","860","50","729","0.3240","0.1550"
"IBK","BestFirst + CFS","3","0.9627","0.9205","0.9382","0.5471","0.0310","0.8875","16839","863","47","698","0.3501","0.1877"
"naive bayes","BestFirst + CFS","3","0.8005","0.9084","0.8491","0.6322","0.0030","0.7724","15227","667","243","2310","0.4083","0.2604"
"random forest","GreedyStepwise Backward + CFS","3","0.9870","0.9206","0.9506","0.6261","0.0296","0.9104","17334","881","29","203","0.2316","0.0821"
"naive bayes","GreedyStepwise Forward + CFS","3","0.9328","0.9228","0.9237","0.6340","0.0498","0.8619","16210","813","97","1327","0.3503","0.2520"
"random forest","GreedyStepwise Forward + CFS","3","0.9792","0.9201","0.9471","0.6251","0.0249","0.9051","17276","872","38","261","0.2179","0.0712"
"IBK","GreedyStepwise Backward + CFS","3","0.9627","0.9205","0.9382","0.5471","0.0310","0.8875","16839","863","47","698","0.3501","0.1877"
"random forest","no","3","0.9899","0.9205","0.9519","0.6136","0.0265","0.9128","17389","885","25","148","0.2978","0.1222"
"random forest","BestFirst + CFS","3","0.9870","0.9206","0.9506","0.6261","0.0296","0.9104","17334","881","29","203","0.2316","0.0821"
"IBK","no","3","0.9422","0.9202","0.9291","0.5847","0.0288","0.8736","16627","833","77","910","0.2994","0.1243"
